name,supertype,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary
Fortified Area,Enchantment,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Green Ward,Enchantment,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Healing Salve,Instant,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Holy Armor,Enchantment,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Holy Strength,Enchantment,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Island Sanctuary,Enchantment,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,0,2.9,0
Karma,Enchantment,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Kismet,Enchantment,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.89,0
Land Tax,Enchantment,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,33.03,0
Mesa Pegasus,Creature,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Morale,Instant,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Northern Paladin,Creature,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.36,0
Osai Vultures,Creature,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Pearled Unicorn,Creature,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Personal Incarnation,Creature,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.33,0
Piety,Instant,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Pikemen,Creature,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Purelace,Instant,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Red Ward,Enchantment,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Reverse Damage,Instant,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,0,0.37,0
Righteousness,Instant,Rare,1,White,Legal,Legal,Legal,Legal,Legal,0,0.27,0
Samite Healer,Creature,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Savannah Lions,Creature,Rare,1,White,Legal,Not Legal,Legal,Legal,Legal,0,1.04,0
Seeker,Enchantment,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Serra Angel,Creature,Uncommon,5,White,Legal,Not Legal,Legal,Legal,Legal,0,0.98,0
Spirit Link,Enchantment,Uncommon,1,White,Legal,Not Legal,Legal,Legal,Legal,0,0.42,0
Swords to Plowshares,Instant,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,1.9,0
Tundra Wolves,Creature,Common,1,White,Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Visions,Sorcery,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Wall of Swords,Creature,Uncommon,4,White,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
White Knight,Creature,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
White Ward,Enchantment,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Wrath of God,Sorcery,Rare,4,White,Legal,Not Legal,Legal,Legal,Legal,0,6.47,0
Air Elemental,Creature,Uncommon,5,Blue,Legal,Legal,Legal,Legal,Legal,0,0.16,0
Animate Artifact,Enchantment,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Apprentice Wizard,Creature,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.24,0
Backfire,Enchantment,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Blue Elemental Blast,Instant,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Control Magic,Enchantment,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.76,0
Counterspell,Instant,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,1.32,0
Creature Bond,Enchantment,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Drain Power,Sorcery,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.75,0
Energy Flux,Enchantment,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.22,0
Energy Tap,Sorcery,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Erosion,Enchantment,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Feedback,Enchantment,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Flight,Enchantment,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Flood,Enchantment,Common,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Gaseous Form,Enchantment,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Ghost Ship,Creature,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Giant Tortoise,Creature,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Hurkyl's Recall,Instant,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,0,1.96,0
Island Fish Jasconius,Creature,Rare,7,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Jump,Instant,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Leviathan,Creature,Rare,9,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.36,0
Lifetap,Enchantment,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Lord of Atlantis,Creature,Rare,2,Blue,Legal,Not Legal,Legal,Legal,Legal,0,3.29,0
Magical Hack,Instant,Rare,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.29,0
Mahamoti Djinn,Creature,Rare,6,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.35,0
Mana Short,Instant,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.82,0
Merfolk of the Pearl Trident,Creature,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Mind Bomb,Sorcery,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Phantasmal Forces,Creature,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Phantasmal Terrain,Enchantment,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Phantom Monster,Creature,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Pirate Ship,Creature,Rare,5,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
Power Leak,Enchantment,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Power Sink,Instant,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Prodigal Sorcerer,Creature,Common,3,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Psionic Entity,Creature,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Psychic Venom,Enchantment,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Relic Bind,Enchantment,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Sea Serpent,Creature,Common,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Segovian Leviathan,Creature,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Sindbad,Creature,Uncommon,2,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.21,0
Siren's Call,Instant,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Sleight of Mind,Instant,Rare,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.23,0
Spell Blast,Instant,Common,2,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Stasis,Enchantment,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,3.37,0
Steal Artifact,Enchantment,Uncommon,4,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.22,0
Sunken City,Enchantment,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Thoughtlace,Instant,Rare,1,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.23,0
Time Elemental,Creature,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.41,0
Twiddle,Instant,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Unstable Mutation,Enchantment,Common,1,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Unsummon,Instant,Common,1,Blue,Legal,Legal,Legal,Legal,Legal,0,0.13,0
Volcanic Eruption,Sorcery,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.19,0
Wall of Air,Creature,Uncommon,3,Blue,Legal,Not Legal,Legal,Legal,Legal,0,0.23,0
Wall of Water,Creature,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Water Elemental,Creature,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Zephyr Falcon,Creature,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Abomination,Creature,Uncommon,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Animate Dead,Enchantment,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,2.92,0
Ashes to Ashes,Sorcery,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.47,0
Bad Moon,Enchantment,Rare,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,1.53,0
Black Knight,Creature,Uncommon,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.39,0
Blight,Enchantment,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.29,0
Bog Imp,Creature,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.06,0
Bog Wraith,Creature,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Carrion Ants,Creature,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Cosmic Horror,Creature,Rare,6,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.23,0
Cursed Land,Enchantment,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Cyclopean Mummy,Creature,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0,0
Dark Ritual,Instant,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.42,0
Deathgrip,Enchantment,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Deathlace,Instant,Rare,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Drain Life,Sorcery,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Drudge Skeletons,Creature,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
El-Hajjâj,Creature,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Erg Raiders,Creature,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Evil Presence,Enchantment,Uncommon,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.22,0
Fear,Enchantment,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Frozen Shade,Creature,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Gloom,Enchantment,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Greed,Enchantment,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,3.19,0
Howl from Beyond,Instant,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Hypnotic Specter,Creature,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,0,1.28,0
Junún Efreet,Creature,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Lord of the Pit,Creature,Rare,7,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.73,0
Lost Soul,Creature,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.06,0
Marsh Gas,Instant,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Mind Twist,Sorcery,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Banned,0,2.82,0
Murk Dwellers,Creature,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Nether Shadow,Creature,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,1.14,0
Nightmare,Creature,Rare,6,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.76,0
Paralyze,Enchantment,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Pestilence,Enchantment,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.29,0
Pit Scorpion,Creature,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Plague Rats,Creature,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Rag Man,Creature,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.27,0
Raise Dead,Sorcery,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Royal Assassin,Creature,Rare,3,Black,Legal,Not Legal,Legal,Legal,Legal,0,2.09,0
Scathe Zombies,Creature,Common,3,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Scavenging Ghoul,Creature,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Sengir Vampire,Creature,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.39,0
Simulacrum,Instant,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Sorceress Queen,Creature,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.66,0
Spirit Shackle,Enchantment,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0,0
Terror,Instant,Common,2,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Uncle Istvan,Creature,Uncommon,4,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Unholy Strength,Enchantment,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Vampire Bats,Creature,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Wall of Bone,Creature,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Warp Artifact,Enchantment,Rare,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.19,0
Weakness,Enchantment,Common,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Will-o'-the-Wisp,Creature,Rare,1,Black,Legal,Not Legal,Legal,Legal,Legal,0,0.83,0
Word of Binding,Sorcery,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Xenic Poltergeist,Creature,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,0.26,0
Zombie Master,Creature,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,0,2.69,0
Ali Baba,Creature,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Ball Lightning,Creature,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,2.28,0
Bird Maiden,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Blood Lust,Instant,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Brothers of Fire,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Burrowing,Enchantment,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Cave People,Creature,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Chaoslace,Instant,Rare,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.19,0
Crimson Manticore,Creature,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Detonate,Sorcery,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Disintegrate,Sorcery,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Dragon Whelp,Creature,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.2,0
Dwarven Warriors,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Earth Elemental,Creature,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Earthquake,Sorcery,Rare,2,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.58,0
Eternal Warrior,Enchantment,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Fire Elemental,Creature,Uncommon,5,Red,Legal,Legal,Legal,Legal,Legal,0,0.18,0
Fireball,Sorcery,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Firebreathing,Enchantment,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Fissure,Instant,Common,5,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Flashfires,Sorcery,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Giant Strength,Enchantment,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Goblin Balloon Brigade,Creature,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Goblin King,Creature,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,1.91,0
Goblin Rock Sled,Creature,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Gray Ogre,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Hill Giant,Creature,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Hurloon Minotaur,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Hurr Jackal,Creature,Rare,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
Immolation,Enchantment,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Inferno,Instant,Rare,7,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.31,0
Ironclaw Orcs,Creature,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.07,0
Keldon Warlord,Creature,Uncommon,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Lightning Bolt,Instant,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,0,1.64,0
Magnetic Mountain,Enchantment,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
Mana Clash,Sorcery,Rare,1,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.35,0
Mana Flare,Enchantment,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,3.7,0
Manabarbs,Enchantment,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.44,0
Mons's Goblin Raiders,Creature,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Orcish Artillery,Creature,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Orcish Oriflamme,Enchantment,Uncommon,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Power Surge,Enchantment,Rare,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.27,0
Pyrotechnics,Sorcery,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Red Elemental Blast,Instant,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.42,0
Shatter,Instant,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Shivan Dragon,Creature,Rare,6,Red,Legal,Legal,Legal,Legal,Legal,0,1.89,0
Sisters of the Flame,Creature,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Smoke,Enchantment,Rare,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,1.78,0
Stone Giant,Creature,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Stone Rain,Sorcery,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Tempest Efreet,Creature,Rare,4,Red,Not Legal,Not Legal,Banned,Banned,Banned,0,0.22,0
The Brute,Enchantment,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Tunnel,Instant,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Uthden Troll,Creature,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Wall of Dust,Creature,Uncommon,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Wall of Fire,Creature,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Wall of Stone,Creature,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Winds of Change,Sorcery,Rare,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,0,20.19,0
Aspect of Wolf,Enchantment,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.33,0
Birds of Paradise,Creature,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,0,7.64,0
Carnivorous Plant,Creature,Common,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Channel,Sorcery,Uncommon,2,Green,Not Legal,Not Legal,Banned,Restrict.,Banned,0,0.19,0
Cockatrice,Creature,Rare,5,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.27,0
Craw Wurm,Creature,Common,6,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Crumble,Instant,Uncommon,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Desert Twister,Sorcery,Uncommon,6,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Durkwood Boars,Creature,Common,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.06,0
Elven Riders,Creature,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Elvish Archers,Creature,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.31,0
Fog,Instant,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Force of Nature,Creature,Rare,6,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.49,0
Fungusaur,Creature,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
Gaea's Liege,Creature,Rare,6,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.26,0
Giant Growth,Instant,Common,1,Green,Legal,Legal,Legal,Legal,Legal,0,0.12,0
Giant Spider,Creature,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Grizzly Bears,Creature,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.12,0
Hurricane,Sorcery,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Instill Energy,Enchantment,Uncommon,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.44,0
Ironroot Treefolk,Creature,Common,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Killer Bees,Creature,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.29,0
Land Leeches,Creature,Common,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Ley Druid,Creature,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Lifeforce,Enchantment,Uncommon,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Lifelace,Instant,Rare,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Living Artifact,Enchantment,Rare,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Living Lands,Enchantment,Rare,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Llanowar Elves,Creature,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.25,0
Lure,Enchantment,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Marsh Viper,Creature,Common,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.1,0
Nafs Asp,Creature,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.13,0
Pradesh Gypsies,Creature,Common,3,Green,Not Legal,Not Legal,Banned,Banned,Banned,0,0.13,0
Radjan Spirit,Creature,Uncommon,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.08,0
Rebirth,Sorcery,Rare,6,Green,Not Legal,Not Legal,Banned,Banned,Banned,0,0.23,0
Regeneration,Enchantment,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Sandstorm,Instant,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.09,0
Scryb Sprites,Creature,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Shanodin Dryads,Creature,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.19,0
Stream of Life,Sorcery,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.15,0
Sylvan Library,Enchantment,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,47.78,0
Thicket Basilisk,Creature,Uncommon,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.18,0
Timber Wolves,Creature,Rare,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.27,0
Titania's Song,Enchantment,Rare,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.28,0
Tranquility,Sorcery,Common,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.17,0
Tsunami,Sorcery,Uncommon,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.21,0
Untamed Wilds,Sorcery,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Venom,Enchantment,Common,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.11,0
Verduran Enchantress,Creature,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,0,2.01,0
Wall of Brambles,Creature,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
Wall of Ice,Creature,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.98,0
Wall of Wood,Creature,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.05,0
Wanderlust,Enchantment,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
War Mammoth,Creature,Common,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,0,0.14,0
Web,Enchantment,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.22,0
Whirling Dervish,Creature,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,0,0.16,0
