id,names,supertypes,subtypes,set,rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,artist,price,is_legendary
2678,Furnace of Rath,Enchantment,None,Tenth Edition,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Matson',3.97,FALSE
2679,Furnace Whelp,Creature,Dragon,Tenth Edition,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Matt Cavotta',0.08,FALSE
2680,Goblin Elite Infantry,Creature,Goblin Warrior,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Robert Bliss',0.05,FALSE
2681,Goblin King,Creature,Goblin,Tenth Edition,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ron Spears',7.39,FALSE
2682,Goblin Lore,Sorcery,None,Tenth Edition,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'D. Alexander Gregory',4.07,FALSE
2683,Goblin Piker,Creature,Goblin Warrior,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'DiTerlizzi',0.05,FALSE
2684,Goblin Sky Raider,Creature,Goblin Warrior,Tenth Edition,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Daren Bader',0.13,FALSE
2685,Guerrilla Tactics,Instant,None,Tenth Edition,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dave Dorman',0.08,FALSE
2686,Hill Giant,Creature,Giant,Tenth Edition,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.08,FALSE
2687,Incinerate,Instant,None,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.12,FALSE
2688,Kamahl Pit Fighter,Creature,Human Barbarian,Tenth Edition,Rare,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.18,TRUE
2689,Lava Axe,Sorcery,None,Tenth Edition,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Brian Sn\xc3\xb5ddy',0.05,FALSE
2690,Lavaborn Muse,Creature,Spirit,Tenth Edition,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Brian Sn\xc3\xb5ddy',0.18,FALSE
2691,Lightning Elemental,Creature,Elemental,Tenth Edition,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.05,FALSE
2692,Manabarbs,Enchantment,None,Tenth Edition,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeff Miracola',0.57,FALSE
2693,Mogg Fanatic,Creature,Goblin,Tenth Edition,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Brom',0.35,FALSE
2694,Orcish Artillery,Creature,Orc Warrior,Tenth Edition,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeff Miracola',0.16,FALSE
2695,Prodigal Pyromancer,Creature,Human Wizard,Tenth Edition,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeremy Jarvis',0.09,FALSE
2696,Pyroclasm,Sorcery,None,Tenth Edition,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.22,FALSE
2697,Rage Weaver,Creature,Human Wizard,Tenth Edition,Uncommon,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Matson',0.08,FALSE
2698,Raging Goblin,Creature,Goblin Berserker,Tenth Edition,Common,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeff Miracola',0.13,FALSE
2699,Relentless Assault,Sorcery,None,Tenth Edition,Rare,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Hildebrandt',0.99,FALSE
2700,Rock Badger,Creature,Badger Beast,Tenth Edition,Common,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Heather Hudson',0.05,FALSE
2701,Scoria Wurm,Creature,Wurm,Tenth Edition,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steve Firchow',0.27,FALSE
2702,Seismic Assault,Enchantment,None,Tenth Edition,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Staples',1.46,FALSE
2703,Shatterstorm,Sorcery,None,Tenth Edition,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Paolo Parente',0.59,FALSE
2704,Shivan Dragon,Creature,Dragon,Tenth Edition,Rare,6,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Donato Giancola',0.49,FALSE
2705,Shivan Hellkite,Creature,Dragon,Tenth Edition,Rare,7,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.32,FALSE
2706,Shock,Instant,None,Tenth Edition,Common,1,Red,Legal,Legal,Legal,Legal,Legal,TRUE,b'Jon Foster',0.14,FALSE
2707,Shunt,Instant,None,Tenth Edition,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Hildebrandt',0.36,FALSE
2708,Siege-Gang Commander,Creature,Goblin,Tenth Edition,Rare,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.94,FALSE
2709,Smash,Instant,None,Tenth Edition,Common,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Paolo Parente',0.14,FALSE
2710,Soulblast,Instant,None,Tenth Edition,Rare,6,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jim Nelson',0.46,FALSE
2711,Spark Elemental,Creature,Elemental,Tenth Edition,Uncommon,1,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.54,FALSE
2712,Spitting Earth,Sorcery,None,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Michael Koelsch',0.08,FALSE
2713,Squee Goblin Nabob,Creature,Goblin,Tenth Edition,Rare,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Staples',1.22,TRUE
2714,Stun,Instant,None,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Terese Nielsen',0.19,FALSE
2715,Sudden Impact,Instant,None,Tenth Edition,Uncommon,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Wayne Reynolds',0.21,FALSE
2716,Threaten,Sorcery,None,Tenth Edition,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Pete Venters',0.29,FALSE
2717,Thundering Giant,Creature,Giant,Tenth Edition,Uncommon,5,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Zug',0.18,FALSE
2718,Uncontrollable Anger,Enchantment,Aura,Tenth Edition,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.06,FALSE
2719,Viashino Runner,Creature,Viashino,Tenth Edition,Common,4,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steve White',0.06,FALSE
2720,Viashino Sandscout,Creature,Viashino Scout,Tenth Edition,Common,2,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott M. Fischer',0.23,FALSE
2721,Wall of Fire,Creature,Wall,Tenth Edition,Uncommon,3,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Dos Santos',0.05,FALSE
2722,Warp World,Sorcery,None,Tenth Edition,Rare,8,Red,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ron Spencer',0.69,FALSE
2723,Abundance,Enchantment,None,Tenth Edition,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rebecca Guay',1.47,FALSE
2724,Aggressive Urge,Instant,None,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Christopher Moeller',0.09,FALSE
2725,Avatar of Might,Creature,Avatar,Tenth Edition,Rare,8,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'rk post',0.93,FALSE
2726,Birds of Paradise,Creature,Bird,Tenth Edition,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Marcelo Vignali',7.09,FALSE
2727,Blanchwood Armor,Enchantment,Aura,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Paolo Parente',0.26,FALSE
2728,Canopy Spider,Creature,Spider,Tenth Edition,Common,2,Green,Legal,Legal,Legal,Legal,Legal,TRUE,b'Christopher Rush',0.05,FALSE
2729,Civic Wayfinder,Creature,Elf Druid Warrior,Tenth Edition,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Cyril Van Der Haegen',0.09,FALSE
2730,Commune with Nature,Sorcery,None,Tenth Edition,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Lars Grant-West',0.13,FALSE
2731,Craw Wurm,Creature,Wurm,Tenth Edition,Common,6,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Richard Sardinha',0.05,FALSE
2732,Creeping Mold,Sorcery,None,Tenth Edition,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Gary Ruddell',0.24,FALSE
2733,Elven Riders,Creature,Elf,Tenth Edition,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Darrell Riche',0.08,FALSE
2734,Elvish Berserker,Creature,Elf Berserker,Tenth Edition,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Paolo Parente',0.03,FALSE
2735,Elvish Champion,Creature,Elf,Tenth Edition,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'D. Alexander Gregory',6.76,FALSE
2736,Elvish Piper,Creature,Elf Shaman,Tenth Edition,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rebecca Guay',3.46,FALSE
2737,Enormous Baloth,Creature,Beast,Tenth Edition,Uncommon,7,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Tedin',0.04,FALSE
2738,Femeref Archers,Creature,Human Archer,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Zoltan Boros',0.2,FALSE
2739,Gaea's Herald,Creature,Elf,Tenth Edition,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jim Murray',2.17,FALSE
2740,Giant Growth,Instant,None,Tenth Edition,Common,1,Green,Legal,Legal,Legal,Legal,Legal,TRUE,b'Matt Cavotta',0.24,FALSE
2741,Giant Spider,Creature,Spider,Tenth Edition,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Randy Gallegos',0.01,FALSE
2742,Grizzly Bears,Creature,Bear,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'D. J. Cleland-Hura',0.15,FALSE
2743,Hunted Wumpus,Creature,Beast,Tenth Edition,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Thomas M. Baxa',0.29,FALSE
2744,Hurricane,Sorcery,None,Tenth Edition,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Howe',0.78,FALSE
2745,Joiner Adept,Creature,Elf Druid,Tenth Edition,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Heather Hudson',2.81,FALSE
2746,Karplusan Strider,Creature,Yeti,Tenth Edition,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.09,FALSE
2747,Kavu Climber,Creature,Kavu,Tenth Edition,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',0.06,FALSE
2748,Llanowar Elves,Creature,Elf Druid,Tenth Edition,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.27,FALSE
2749,Llanowar Sentinel,Creature,Elf,Tenth Edition,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Randy Gallegos',0.1,FALSE
2750,Lure,Enchantment,Aura,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'D. Alexander Gregory',0.09,FALSE
2751,Might of Oaks,Instant,None,Tenth Edition,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeremy Jarvis',0.37,FALSE
2752,Might Weaver,Creature,Human Wizard,Tenth Edition,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Larry Elmore',0.09,FALSE
2753,Mirri Cat Warrior,Creature,Cat Warrior,Tenth Edition,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Daren Bader',2.17,TRUE
2754,Molimo Maro-Sorcerer,Creature,Elemental,Tenth Edition,Rare,7,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Zug',0.43,TRUE
2755,Natural Spring,Sorcery,None,Tenth Edition,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeffrey R. Busch',0.14,FALSE
2756,Naturalize,Instant,None,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Tim Hildebrandt',0.08,FALSE
2757,Overgrowth,Enchantment,Aura,Tenth Edition,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ron Spears',0.32,FALSE
2758,Overrun,Sorcery,None,Tenth Edition,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Carl Critchlow',0.25,FALSE
2759,Pincher Beetles,Creature,Insect,Tenth Edition,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Stephen Daniele',0.16,FALSE
2760,Primal Rage,Enchantment,None,Tenth Edition,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Brian Sn\xc3\xb5ddy',2.37,FALSE
2761,Quirion Dryad,Creature,Dryad,Tenth Edition,Rare,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Todd Lockwood',0.34,FALSE
2762,Rampant Growth,Sorcery,None,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steven Belledin',0.56,FALSE
2763,Recollect,Sorcery,None,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Pete Venters',0.28,FALSE
2764,Regeneration,Enchantment,Aura,Tenth Edition,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeremy Jarvis',0.23,FALSE
2765,Rhox,Creature,Rhino Beast,Tenth Edition,Rare,6,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Zug',0.86,FALSE
2766,Root Maze,Enchantment,None,Tenth Edition,Rare,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rebecca Guay',3.06,FALSE
2767,Rootwalla,Creature,Lizard,Tenth Edition,Common,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Roger Raupp',0.04,FALSE
2768,Rushwood Dryad,Creature,Dryad,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Todd Lockwood',0.06,FALSE
2769,Scion of the Wild,Creature,Avatar,Tenth Edition,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Kev Walker',0.33,FALSE
2770,Seedborn Muse,Creature,Spirit,Tenth Edition,Rare,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Adam Rex',9.24,FALSE
2771,Skyshroud Ranger,Creature,Elf,Tenth Edition,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Tedin',0.52,FALSE
2772,Spined Wurm,Creature,Wurm,Tenth Edition,Common,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Carl Critchlow',0.08,FALSE
2773,Stalking Tiger,Creature,Cat,Tenth Edition,Common,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Terese Nielsen',0.09,FALSE
2774,Stampeding Wildebeests,Creature,Antelope Beast,Tenth Edition,Uncommon,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Randy Gallegos',0.21,FALSE
2775,Sylvan Basilisk,Creature,Basilisk,Tenth Edition,Uncommon,5,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Steven Belledin',0.28,FALSE
2776,Sylvan Scrying,Sorcery,None,Tenth Edition,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott M. Fischer',0.75,FALSE
2777,Tangle Spider,Creature,Spider,Tenth Edition,Uncommon,6,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Terese Nielsen',0.17,FALSE
2778,Treetop Bracers,Enchantment,Aura,Tenth Edition,Common,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Heather Hudson',0.11,FALSE
2779,Troll Ascetic,Creature,Troll Shaman,Tenth Edition,Rare,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Puddnhead',0.58,FALSE
2780,Upwelling,Enchantment,None,Tenth Edition,Rare,4,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Chippy',0.8,FALSE
2781,Verdant Force,Creature,Elemental,Tenth Edition,Rare,8,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'DiTerlizzi',0.37,FALSE
2782,Viridian Shaman,Creature,Elf Shaman,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott M. Fischer',0.1,FALSE
2783,Wall of Wood,Creature,Wall,Tenth Edition,Common,1,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rebecca Guay',0.08,FALSE
2784,Yavimaya Enchantress,Creature,Human Druid,Tenth Edition,Uncommon,3,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Terese Nielsen',0.21,FALSE
2785,Angel's Feather,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alan Pollack',0.26,FALSE
2786,Bottle Gnomes,Artifact Creature,Gnome,Tenth Edition,Uncommon,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ben Thompson',0.11,FALSE
2787,Chimeric Staff,Artifact,None,Tenth Edition,Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Michael Sutfin',0.38,FALSE
2788,Chromatic Star,Artifact,None,Tenth Edition,Uncommon,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alex Horley-Orlandelli',4.5,FALSE
2789,Citanul Flute,Artifact,None,Tenth Edition,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Hildebrandt',2.99,FALSE
2790,Coat of Arms,Artifact,None,Tenth Edition,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott M. Fischer',8.06,FALSE
2791,Colossus of Sardia,Artifact Creature,Golem,Tenth Edition,Rare,9,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Greg Staples',0.28,FALSE
2792,Composite Golem,Artifact Creature,Golem,Tenth Edition,Uncommon,6,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Tedin',0.33,FALSE
2793,Crucible of Worlds,Artifact,None,Tenth Edition,Rare,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ron Spencer',20.52,FALSE
2794,Demon's Horn,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alan Pollack',0.13,FALSE
2795,Doubling Cube,Artifact,None,Tenth Edition,Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Tedin',22.9,FALSE
2796,Dragon's Claw,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alan Pollack',0.34,FALSE
2797,Fountain of Youth,Artifact,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.25,FALSE
2798,The Hive,Artifact,None,Tenth Edition,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ron Spencer',0.22,FALSE
2799,Howling Mine,Artifact,None,Tenth Edition,Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Ralph Horsley',3.87,FALSE
2800,Icy Manipulator,Artifact,None,Tenth Edition,Uncommon,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Matt Cavotta',0.31,FALSE
2801,Jayemdae Tome,Artifact,None,Tenth Edition,Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Donato Giancola',0.3,FALSE
2802,Juggernaut,Artifact Creature,Juggernaut,Tenth Edition,Uncommon,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Arnie Swekel',0.24,FALSE
2803,Kraken's Eye,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alan Pollack',0.14,FALSE
2804,Legacy Weapon,Artifact,None,Tenth Edition,Rare,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Terese Nielsen',3.2,TRUE
2805,Leonin Scimitar,Artifact,Equipment,Tenth Edition,Uncommon,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Doug Chaffee',0.14,FALSE
2806,Loxodon Warhammer,Artifact,Equipment,Tenth Edition,Rare,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jeremy Jarvis',0.98,FALSE
2807,Mantis Engine,Artifact Creature,Insect,Tenth Edition,Uncommon,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Zeleznik',0.21,FALSE
2808,Millstone,Artifact,None,Tenth Edition,Rare,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.24,FALSE
2809,Mind Stone,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Adam Rex',1.21,FALSE
2810,Ornithopter,Artifact Creature,Thopter,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dana Knutson',0.34,FALSE
2811,Phyrexian Vault,Artifact,None,Tenth Edition,Uncommon,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Hannibal King',0.22,FALSE
2812,Pithing Needle,Artifact,None,Tenth Edition,Rare,1,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Pete Venters',7.94,FALSE
2813,Platinum Angel,Artifact Creature,Angel,Tenth Edition,Rare,7,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Brom',6.39,FALSE
2814,Razormane Masticore,Artifact Creature,Masticore,Tenth Edition,Rare,5,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jim Murray',0.22,FALSE
2815,Rod of Ruin,Artifact,None,Tenth Edition,Uncommon,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Mark Zug',0.03,FALSE
2816,Sculpting Steel,Artifact,None,Tenth Edition,Rare,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Heather Hudson',7.87,FALSE
2817,Spellbook,Artifact,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Andrew Goldhawk',1.9,FALSE
2818,Steel Golem,Artifact Creature,Golem,Tenth Edition,Uncommon,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Donato Giancola',0.57,FALSE
2819,Whispersilk Cloak,Artifact,Equipment,Tenth Edition,Uncommon,3,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Luca Zontini',1.31,FALSE
2820,Wurm's Tooth,Artifact,None,Tenth Edition,Uncommon,2,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Alan Pollack',0.22,FALSE
2821,Adarkar Wastes,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',11.39,FALSE
2822,Battlefield Forge,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Darrell Riche',2.32,FALSE
2823,Brushland,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Scott Bailey',9.01,FALSE
2824,Caves of Koilos,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Jim Nelson',1.53,FALSE
2825,Faerie Conclave,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Stephan Martiniere',1.64,FALSE
2826,Forbidding Watchtower,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Aleksi Briclot',0.74,FALSE
2827,Ghitu Encampment,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.18,FALSE
2828,Karplusan Forest,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'John Avon',4.98,FALSE
2829,Llanowar Wastes,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',2.71,FALSE
2830,Quicksand,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Roger Raupp',0.12,FALSE
2831,Shivan Reef,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',4.52,FALSE
2832,Spawning Pool,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Nils Hamm',0.39,FALSE
2833,Sulfurous Springs,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',11.6,FALSE
2834,Terramorphic Expanse,Land,None,Tenth Edition,Common,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Dan Scott',0.32,FALSE
2835,Treetop Village,Land,None,Tenth Edition,Uncommon,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',0.46,FALSE
2836,Underground River,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Andrew Goldhawk',6.21,FALSE
2837,Yavimaya Coast,Land,None,Tenth Edition,Rare,0,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,b'Anthony S. Waters',3.17,FALSE
2838,Plains,Basic Land,Plains,Tenth Edition,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,TRUE,b'Rob Alexander',0.09,FALSE
2839,Plains,Basic Land,Plains,Tenth Edition,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,TRUE,b'John Avon',0.09,FALSE
2840,Plains,Basic Land,Plains,Tenth Edition,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,TRUE,b'Greg Staples',0.1,FALSE
2841,Plains,Basic Land,Plains,Tenth Edition,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,TRUE,b'Richard Wright',0.29,FALSE
2842,Island,Basic Land,Island,Tenth Edition,Common,0,Colorless,Legal,Legal,Legal,Legal,Legal,TRUE,b'Donato Giancola',0.31,FALSE
