id,names,supertypes,MAX(set_year),rarity,cmc,color,modern_legality,standard_legality,commander_legality,vintage_legality,legacy_legality,reprint,price,is_legendary,edhrec
3846,Charcoal Diamond,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.35,FALSE,7514
3852,Feroz's Ban,Artifact,2001,Rare,6,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.3,FALSE,141
3853,Fire Diamond,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,2.03,FALSE,9941
3855,Grafted Skullcap,Artifact,2001,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.33,FALSE,212
3856,Grapeshot Catapult,Artifact Creature,2001,Uncommon,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,4
3860,Jalum Tome,Artifact,2001,Rare,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.2,FALSE,373
3861,Jandor's Saddlebags,Artifact,2001,Rare,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.38,FALSE,434
3863,Marble Diamond,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.07,FALSE,6387
3864,Meekstone,Artifact,2001,Rare,1,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,6.19,FALSE,4656
3866,Moss Diamond,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,1508
3870,Pit Trap,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,53
3872,Sisay's Ring,Artifact,2001,Uncommon,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.5,FALSE,2423
3873,Sky Diamond,Artifact,2001,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.48,FALSE,8234
3874,Soul Net,Artifact,2001,Uncommon,1,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,41
3876,Static Orb,Artifact,2001,Rare,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,15.96,FALSE,3812
3877,Storm Cauldron,Artifact,2001,Rare,5,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,2.08,FALSE,1494
3908,Animate Wall,Enchantment,1999,Rare,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.28,FALSE,113
3909,Archangel,Creature,2012,Rare,7,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.3,FALSE,83
3911,Armageddon,Sorcery,1999,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,3.63,FALSE,6129
3912,Armored Pegasus,Creature,1999,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,19
3914,Celestial Dawn,Enchantment,2006,Rare,3,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,1.27,FALSE,858
3920,Crusade,Enchantment,1999,Rare,2,White,Not Legal,Not Legal,Banned,Banned,Banned,TRUE,0.13,FALSE,852
3921,Daraja Griffin,Creature,1999,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,60
3922,D'Avenant Archer,Creature,1999,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,23
3924,Divine Transformation,Enchantment,1999,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,32
3925,Ekundu Griffin,Creature,1999,Common,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,52
3926,Enlightened Tutor,Instant,1999,Uncommon,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,31.04,FALSE,39760
3927,Ethereal Champion,Creature,1999,Rare,5,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.24,FALSE,15
3928,Exile,Instant,1999,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.78,FALSE,200
3931,Hero's Resolve,Enchantment,1999,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.23,FALSE,58
3932,Icatian Town,Sorcery,1999,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,8
3934,Kismet,Enchantment,1999,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.62,FALSE,1828
3936,Light of Day,Enchantment,1999,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.27,FALSE,149
3938,Mesa Falcon,Creature,1999,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.07,FALSE,16
3939,Order of the Sacred Torch,Creature,1999,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.4,FALSE,218
3941,Pearl Dragon,Creature,1999,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.41,FALSE,19
3942,Regal Unicorn,Creature,1999,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,6
3943,Remedy,Instant,1999,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,3
3945,Resistance Fighter,Creature,1999,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.05,FALSE,12
3948,Serenity,Enchantment,1999,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.63,FALSE,61
3954,Tariff,Sorcery,1999,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.35,FALSE,90
3956,Unyaro Griffin,Creature,1999,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,50
3959,Warmth,Enchantment,1999,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,12
3962,Abduction,Enchantment,1999,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,216
3966,Browse,Enchantment,1999,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,9
3967,Chill,Enchantment,1999,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,128
3971,Desertion,Instant,1999,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,2.48,FALSE,5141
3972,Diminishing Returns,Sorcery,1999,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.6,FALSE,702
3973,Dream Cache,Sorcery,1999,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,1731
3974,Flash,Instant,1999,Rare,2,Blue,Not Legal,Not Legal,Banned,Restrict.,Banned,TRUE,2.62,FALSE,2839
3977,Forget,Sorcery,1999,Rare,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,21
3978,Gaseous Form,Enchantment,1999,Common,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.02,FALSE,52
3980,Harmattan Efreet,Creature,1999,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,4
3982,Insight,Enchantment,1999,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,267
3984,Juxtapose,Sorcery,1999,Rare,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.27,FALSE,119
3985,Library of Lat-Nam,Sorcery,1999,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.35,FALSE,150
3990,Mystical Tutor,Instant,1999,Uncommon,1,Blue,Not Legal,Not Legal,Legal,Restrict.,Banned,TRUE,15.77,FALSE,47244
3991,Phantasmal Terrain,Enchantment,2000,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,50
3994,Power Sink,Instant,1999,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.29,FALSE,995
3996,Prosperity,Sorcery,1999,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.9,FALSE,3441
3997,Psychic Transfer,Sorcery,1999,Rare,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.2,FALSE,3
3998,Psychic Venom,Enchantment,1999,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,28
3999,Recall,Sorcery,1999,Rare,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,502
4000,Relearn,Sorcery,1999,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,461
4004,Segovian Leviathan,Creature,1999,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,25
4005,Sibilant Spirit,Creature,1999,Rare,6,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,14
4006,Soldevi Sage,Creature,1999,Uncommon,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,17
4009,Tidal Surge,Sorcery,1999,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,15
4011,Vodalian Soldiers,Creature,1999,Common,2,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,8
4014,Wind Spirit,Creature,1999,Uncommon,5,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.17,FALSE,7
4016,Abyssal Hunter,Creature,1999,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.33,FALSE,34
4019,Ashen Powder,Sorcery,1999,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.99,FALSE,215
4020,Blight,Enchantment,1999,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.44,FALSE,71
4021,Blighted Shaman,Creature,1999,Uncommon,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,13
4024,Bog Rats,Creature,1999,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,67
4027,Derelor,Creature,1999,Rare,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,3
4028,Doomsday,Sorcery,1999,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,6.89,FALSE,3076
4029,Dread of Night,Enchantment,1999,Uncommon,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.73,FALSE,21
4031,Dry Spell,Sorcery,1999,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,28
4033,Evil Eye of Orms-by-Gore,Creature,2006,Uncommon,5,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,22
4035,Fatal Blow,Instant,1999,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,61
4037,Feast of the Unicorn,Enchantment,1999,Common,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,24
4038,Feral Shadow,Creature,1999,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,13
4039,Forbidden Crypt,Enchantment,1999,Rare,5,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,56
4040,Gravebane Zombie,Creature,1999,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,23
4043,Hecatomb,Enchantment,1999,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,106
4047,Kjeldoran Dead,Creature,1999,Common,1,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,108
4049,Lost Soul,Creature,1999,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,19
4050,Mind Warp,Sorcery,1999,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.25,FALSE,13
4051,Mischievous Poltergeist,Creature,1999,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,197
4052,Necrosavant,Creature,1999,Rare,6,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,18
4054,Painful Memories,Sorcery,1999,Common,2,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,11
4055,Perish,Sorcery,1999,Uncommon,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.25,FALSE,63
4056,Pestilence,Enchantment,1999,Uncommon,4,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.4,FALSE,2975
4057,Python,Creature,1999,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,5
4062,Sengir Autocrat,Creature,2006,Rare,4,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.37,FALSE,2196
4064,Stromgald Cabal,Creature,1999,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.29,FALSE,117
4065,Stupor,Sorcery,2006,Uncommon,3,Black,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.37,FALSE,65
4066,Syphon Soul,Sorcery,2002,Common,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,154
4068,Vampiric Tutor,Instant,1999,Rare,1,Black,Not Legal,Not Legal,Legal,Restrict.,Banned,TRUE,77.1,FALSE,32384
4069,Zombie Master,Creature,1999,Rare,3,Black,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,4,FALSE,2604
4074,Balduvian Horde,Creature,1999,Rare,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.32,FALSE,40
4077,Burrowing,Enchantment,1999,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,31
4078,Conquer,Enchantment,1999,Uncommon,5,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,41
4085,Fit of Rage,Sorcery,1999,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.2,FALSE,99
4086,Flame Spirit,Creature,1999,Common,5,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,9
4088,Giant Strength,Enchantment,1999,Common,2,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,43
4091,Goblin Hero,Creature,1999,Common,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,12
4093,Goblin Recruiter,Creature,1999,Uncommon,2,Red,Not Legal,Not Legal,Legal,Legal,Banned,TRUE,4.12,FALSE,3092
4094,Goblin Warrens,Enchantment,1999,Rare,3,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.21,FALSE,900
4097,Illicit Auction,Sorcery,1999,Rare,5,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1,FALSE,719
4099,Jokulhaups,Sorcery,1999,Rare,6,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,4.13,FALSE,2204
4102,Mountain Goat,Creature,1999,Common,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,49
4114,Spitting Drake,Creature,1999,Uncommon,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,2
4117,Talruum Minotaur,Creature,1999,Common,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,29
4119,Vertigo,Instant,1999,Uncommon,1,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,3
4120,Viashino Warrior,Creature,1999,Common,4,Red,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.06,FALSE,3
4126,Cat Warriors,Creature,1999,Common,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,38
4128,Dense Foliage,Enchantment,1999,Rare,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.49,FALSE,212
4131,Elven Cache,Sorcery,1999,Common,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,99
4134,Fallow Earth,Sorcery,1999,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,22
4138,Fyndhorn Brownie,Creature,1999,Common,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,67
4145,Living Lands,Enchantment,1999,Rare,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,77
4150,Panther Warriors,Creature,1999,Common,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,24
4151,Pradesh Gypsies,Creature,1999,Common,3,Green,Not Legal,Not Legal,Banned,Banned,Banned,TRUE,0.08,FALSE,1
4152,Radjan Spirit,Creature,1999,Uncommon,4,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,7
4156,River Boa,Creature,2009,Uncommon,2,Green,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,255
4163,Thicket Basilisk,Creature,1999,Uncommon,5,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,22
4165,Tranquil Grove,Enchantment,1999,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.64,FALSE,207
4167,Uktabi Orangutan,Creature,1999,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,96
4169,Unseen Walker,Creature,1999,Uncommon,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,29
4172,Vitalize,Instant,1999,Common,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.39,FALSE,2047
4173,Waiting in the Weeds,Sorcery,1999,Rare,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.47,FALSE,153
4174,Warthog,Creature,1999,Uncommon,3,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,22
4176,Worldly Tutor,Instant,1999,Uncommon,1,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,37.89,FALSE,20994
4177,Wyluli Wolf,Creature,1999,Rare,2,Green,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.4,FALSE,70
4179,Amber Prison,Artifact,1999,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.33,FALSE,52
4180,Ankh of Mishra,Artifact,1999,Rare,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,2.17,FALSE,1973
4181,Ashnod's Altar,Artifact,1999,Uncommon,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,6.44,FALSE,40737
4182,Bottle of Suleiman,Artifact,1999,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.27,FALSE,76
4185,Cursed Totem,Artifact,1999,Rare,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,18.07,FALSE,4057
4189,Dragon Engine,Artifact Creature,1999,Rare,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,22
4190,Dragon Mask,Artifact,1999,Uncommon,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,51
4194,Glasses of Urza,Artifact,1999,Uncommon,1,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,470
4195,Grinning Totem,Artifact,2006,Rare,4,Colorless,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.35,FALSE,222
4200,Jade Monolith,Artifact,1999,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.32,FALSE,262
4203,Lead Golem,Artifact Creature,1999,Uncommon,5,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,1
4204,Mana Prism,Artifact,1999,Uncommon,3,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,144
4209,Mystic Compass,Artifact,1999,Uncommon,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.25,FALSE,68
4210,Obsianus Golem,Artifact Creature,1999,Uncommon,6,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,10
4213,Pentagram of the Ages,Artifact,1999,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,70
4217,Skull Catapult,Artifact,1999,Uncommon,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,47
4219,Snake Basket,Artifact,1999,Rare,4,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,1.09,FALSE,541
4224,Wand of Denial,Artifact,1999,Rare,2,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.26,FALSE,78
4229,Crystal Vein,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.8,FALSE,5505
4230,Dwarven Ruins,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.27,FALSE,847
4231,Ebon Stronghold,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.24,FALSE,989
4232,Havenwood Battleground,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,1224
4234,Ruins of Trokair,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,211
4236,Svyelunite Temple,Land,1999,Uncommon,0,Colorless,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,315
4258,Abbey Gargoyles,Creature,1997,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,19
4259,Akron Legionnaire,Creature,1997,Rare,8,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.23,FALSE,18
4260,Alabaster Potion,Instant,1997,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,41
4261,Angry Mob,Creature,1997,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,53
4263,Arenson's Aura,Enchantment,1997,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,67
4265,Armor of Faith,Enchantment,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,46
4266,Aysen Bureaucrats,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,11
4267,Benalish Hero,Creature,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,42
4268,Blessed Wine,Instant,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,29
4270,Brainwash,Enchantment,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,74
4271,Caribou Range,Enchantment,1997,Rare,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.18,FALSE,47
4273,Circle of Protection: Artifacts,Enchantment,2004,Uncommon,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,61
4281,Death Speakers,Creature,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,8
4282,Death Ward,Instant,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,195
4284,Divine Offering,Instant,2011,Common,2,White,Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,377
4286,Dust to Dust,Sorcery,1997,Uncommon,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.54,FALSE,167
4287,Eye for an Eye,Instant,1997,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.31,FALSE,49
4288,Greater Realm of Preservation,Enchantment,1997,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,11
4289,Heal,Instant,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,549
4291,Hipparion,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,6
4293,Icatian Phalanx,Creature,1997,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.2,FALSE,22
4294,Icatian Scout,Creature,1997,Common,1,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.22,FALSE,11
4296,Island Sanctuary,Enchantment,1997,Rare,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,3.03,FALSE,1476
4297,Ivory Guardians,Creature,1997,Uncommon,6,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.08,FALSE,1
4298,Justice,Enchantment,1997,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,21
4302,Kjeldoran Skycaptain,Creature,1997,Uncommon,5,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,28
4304,Mesa Pegasus,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.11,FALSE,53
4306,Order of the White Shield,Creature,1997,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,57
4307,Pearled Unicorn,Creature,1997,Common,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.13,FALSE,14
4308,Personal Incarnation,Creature,1997,Rare,6,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.24,FALSE,13
4309,Pikemen,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,34
4310,Prismatic Ward,Enchantment,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.12,FALSE,40
4311,Repentant Blacksmith,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,6
4314,Sacred Boon,Instant,1997,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.19,FALSE,4
4316,Seraph,Creature,1997,Rare,7,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.79,FALSE,21
4317,Serra Bestiary,Enchantment,1997,Uncommon,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.16,FALSE,8
4318,Serra Paladin,Creature,1997,Uncommon,4,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.14,FALSE,4
4319,Shield Bearer,Creature,1997,Common,2,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,37
4322,Truce,Instant,1997,Rare,3,White,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.43,FALSE,279
4327,Aether Storm,Enchantment,1997,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.15,FALSE,44
4329,Anti-Magic Aura,Enchantment,1997,Uncommon,3,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.21,FALSE,27
4331,Binding Grasp,Enchantment,1997,Uncommon,4,Blue,Not Legal,Not Legal,Legal,Legal,Legal,TRUE,0.1,FALSE,60
